nickname,lineage
CDL,"['20121118_120653_r2_4_CDL', '20121125_220204_r2_3_RWB', '20121202_115829_r2_3_EBO', '20121202_215654_r2_10_BWP', '20121208_222213_r2_11_UCO', '20121209_215312_r2_5_XZR', '20121215_221835_r2_3_DTE', '20121216_115007_r2_4_YIE', '20121216_214909_r2_4_GLO', '20121222_221357_r2_10_HNI', '20121229_121118_r2_9_OEI', '20121229_220951_r2_7_QFO', '20130105_220505_r2_10_YAS', '20130106_213629_r2_9_ZFA', '20130113_113326_r2_8_NOV', '20130119_215733_r2_6_NIT', '20130120_130948_r2_4_HRJ', '20130120_212803_r2_4_FBX', '20130126_115455_r2_4_OBH', '20130126_215241_r2_4_XOM', '20130127_130546_r2_4_BKB', '20130202_115047_r2_4_VIY', '20130204_123212_r2_3_AMP', '20130205_120309_r2_4_YST', '20130209_214433_r2_6_ANW', '20130216_214040_r2_8_TUN', '20130217_125235_r2_9_NLD', '20130309_131011_r2_2_QBB', '20130309_212832_r2_1_FLE', '20130310_124043_r2_1_CGC', '20130310_205845_r2_1_ZAY', '20130312_214029_r2_5_XOL', '20130316_130501_r2_1_QRB', '20130317_123556_r2_2_NGB', '20130317_205503_r2_2_OEG', '20130323_130115_r2_2_NMH', '20130324_123241_r2_6_XOG', '20130324_205051_r2_1_VEW', '20130326_213204_r2_7_XOB', '20130330_125702_r2_1_AMW', '20130331_122758_r2_1_DKQ', '20130331_204641_r2_1_UKK', '20130403_124051_r2_7_GVR', '20130405_214032_r2_5_LIH', '20130406_211113_r2_1_ZFV', '20130407_204233_r2_3_IOG', '20130407_222225_r2_1_IUR', '20130409_130603_r2_1_DVY', '20130411_220504_r2_8_CIQ', '20130416_130136_r2_6_GLZ', '20130417_123216_r2_6_UUA', '20130420_124421_r2_6_SSM', '20130421_121505_r2_6_CWZ', '20130421_221331_r2_13_OTK', '20130423_125721_r2_5_FKH', '20130424_122805_r2_5_QTI', '20130427_123958_r2_5_HUS', '20130428_221021_r2_5_XXQ', '20130501_122413_r2_5_SQL', '20130505_120654_r2_5_RZW', '20130505_220535_r2_11_OAW', '20130508_122002_r2_11_QMY', '20130512_120247_r2_9_XZI', '20130512_220124_r2_13_BDB', '20130515_121555_r2_11_SDX', '20130518_222627_r2_5_UYC', '20130519_115840_r2_1_NLY', '20130519_215651_r2_6_EBD', '20130522_121144_r2_6_ZEG', '20130525_222229_r2_1_ZLA', '20130526_115422_r2_1_JOQ', '20130526_215310_r2_1_QVV', '20130529_120738_r2_1_HZZ', '20130601_121949_r2_1_QTC', '20130601_221814_r2_1_JWD', '20130602_115011_r2_0_HYI', '20130602_214908_r2_0_KCF', '20130608_221328_r2_9_CJR', '20130609_114600_r2_0_MSJ', '20130609_214508_r2_1_GSM', '20130610_211512_r2_0_BFA', '20130611_222644_r2_0_MZW', '20130615_220959_r2_1_BHE', '20130616_214050_r2_0_UVH', '20130622_220538_r2_3_LPF', '20130623_213636_r2_2_FRE', '20130630_213210_r2_7_VSE', '20130701_124516_r2_7_SXZ', '20130701_210242_r2_0_ATJ', '20130702_121604_r2_7_NME', '20130702_221420_r2_0_DFN', '20130703_214445_r2_4_AGK', '20130704_125742_r2_3_NDH', '20130704_211543_r2_0_DRE', '20130705_222656_r2_0_ZDW', '20130706_215737_r2_0_CHE', '20130707_212832_r2_1_MAG', '20130708_124104_r2_1_JLO', '20130708_205850_r2_0_LTP', '20130710_214036_r2_3_FFS']"
EFL,"['20121118_120653_r2_0_EFL', '20121125_220204_r2_0_QPO', '20121202_115829_r2_1_FQS', '20121202_215654_r2_8_XEF', '20121208_222213_r2_9_QHA', '20121209_215312_r2_3_QEW', '20121215_221835_r2_1_TVL', '20121216_115007_r2_1_UBJ', '20121216_214909_r2_1_HPJ', '20121222_221357_r2_7_DWB', '20121229_121118_r2_7_WGH', '20121229_220951_r2_5_BPJ', '20130105_220505_r2_8_EGJ', '20130106_213629_r2_7_IZD', '20130113_113326_r2_6_BCU', '20130119_215733_r2_4_OQY', '20130120_130948_r2_2_HXW', '20130120_212803_r2_2_FOT', '20130126_115455_r2_2_MTN', '20130126_215241_r2_2_TSX', '20130127_130546_r2_2_WRQ', '20130202_115047_r2_2_FLO', '20130204_123212_r2_2_TGD', '20130205_120309_r2_3_URO', '20130209_214433_r2_5_MQH', '20130216_214040_r2_7_VAU', '20130217_125235_r2_8_KYE', '20130309_131011_r2_3_JGW', '20130309_212832_r2_2_ZHN']"
NEL,"['20121202_115943_r2_7_NEL', '20121202_215654_r2_5_CLC']"
ATQ,"['20121128_221342_r2_2_ATQ', '20121129_114721_r2_2_YWH', '20121201_222630_r2_2_ZAI', '20121202_115943_r2_2_AXM', '20121202_215654_r2_2_TWY', '20121203_113042_r2_2_XNG', '20121208_222213_r2_5_GNX', '20121209_115521_r2_4_HJW', '20121215_122042_r2_6_PHJ', '20121215_221721_r2_6_WNG', '20121216_115119_r2_6_CON', '20121216_214747_r2_5_WQH', '20121222_121641_r2_5_MUB', '20121222_221357_r2_2_PTT', '20121227_113036_r2_5_BYH', '20121229_121233_r2_3_DEP', '20130105_220505_r2_14_UVX', '20130106_113858_r2_5_QAE', '20130106_213514_r2_4_XID', '20130113_113437_r2_2_PPO', '20130119_215618_r2_7_WPT', '20130120_212803_r2_13_CON', '20130126_115455_r2_11_RAE', '20130126_215241_r2_10_MTB', '20130202_115047_r2_11_TNM', '20130204_123256_r2_4_YTD', '20130209_214433_r2_12_UFS', '20130216_114249_r2_5_UEK', '20130216_213933_r2_3_EQM', '20130224_124931_r2_6_QGL', '20130302_113425_r2_2_MFC', '20130309_113020_r2_1_ZFY', '20130309_212717_r2_4_ONG', '20130310_124043_r2_14_NYK', '20130310_223843_r2_5_BMQ', '20130312_214029_r2_13_YCV', '20130314_222125_r2_5_QGI', '20130316_212252_r2_2_LAE', '20130317_123711_r2_3_UZD', '20130317_223434_r2_6_CUA', '20130321_221744_r2_6_IXE', '20130323_211940_r2_1_YGU', '20130324_123241_r2_1_RSQ', '20130324_223022_r2_1_HWZ', '20130326_213204_r2_1_UIL', '20130328_221334_r2_2_WQV', '20130331_122912_r2_4_NYM', '20130331_222616_r2_5_YOJ', '20130403_124051_r2_4_DQF', '20130404_121155_r2_5_AWP', '20130405_214032_r2_3_JPD', '20130407_222110_r2_5_VXC', '20130410_123658_r2_6_HWZ', '20130411_220504_r2_6_AWT', '20130414_122016_r2_6_XZF', '20130414_221733_r2_7_JTL', '20130417_123216_r2_9_CGP', '20130420_124535_r2_7_EOI', '20130421_121609_r2_7_CKB', '20130421_221331_r2_11_AJC', '20130424_122805_r2_10_BUH', '20130427_124113_r2_7_LFZ', '20130427_223844_r2_6_RXI', '20130428_220941_r2_6_YPH', '20130501_122413_r2_12_TUM', '20130504_223435_r2_6_QHG', '20130505_120750_r2_6_YQF', '20130505_220535_r2_5_LAE', '20130508_122002_r2_5_PJT', '20130511_222931_r2_5_PPS', '20130512_120402_r2_6_JZL', '20130512_220124_r2_5_EZI', '20130515_121555_r2_5_EIS', '20130518_222627_r2_3_SWT', '20130519_115955_r2_2_UWK', '20130519_215651_r2_1_TCE', '20130522_121144_r2_1_ADS', '20130525_222120_r2_4_SFL', '20130526_115531_r2_3_IVN', '20130526_215155_r2_3_XRW', '20130529_120738_r2_5_PFA', '20130601_121949_r2_4_ZTE', '20130601_221659_r2_4_LXL', '20130602_115109_r2_3_PBZ', '20130602_214826_r2_3_KLQ', '20130608_121611_r2_4_QHJ', '20130608_221328_r2_4_RGQ', '20130609_114700_r2_4_SSA', '20130609_214353_r2_4_WFA', '20130611_222529_r2_5_BZQ', '20130613_113037_r2_0_BQL', '20130615_121208_r2_0_SLN', '20130615_220844_r2_0_ILL', '20130616_114253_r2_1_NIL', '20130616_213945_r2_0_XDS', '20130618_122450_r2_0_WYD', '20130621_123724_r2_0_ZYC', '20130622_120814_r2_0_WYY', '20130622_220423_r2_0_HAB', '20130623_113840_r2_2_GRT', '20130623_213517_r2_2_PLW', '20130625_122040_r2_3_RDY', '20130626_115128_r2_2_ZWD']"
VQT,"['20121128_221227_r2_3_VQT', '20121129_114836_r2_3_IFJ', '20121130_111923_r2_3_VOA', '20121201_222437_r2_3_MUX', '20121202_215539_r2_9_EVU', '20121203_113156_r2_3_MAA', '20121207_111516_r2_11_KDV', '20121208_222027_r2_4_HOO', '20121209_115635_r2_4_GIN', '20121210_112746_r2_4_FUD', '20121214_111102_r2_4_RLE', '20121216_115233_r2_4_FAW', '20121216_214632_r2_4_GWY', '20121222_221123_r2_5_HXH', '20121224_111902_r2_6_UEJ', '20121227_113150_r2_3_BAS', '20121230_213820_r2_3_RZJ', '20121231_111450_r2_3_WYP', '20130105_220308_r2_11_WIH', '20130106_114013_r2_3_OTY', '20130106_213356_r2_3_BYF', '20130107_111108_r2_3_JNZ', '20130113_113551_r2_3_UXR', '20130114_110652_r2_4_HYD', '20130119_120030_r2_2_PAW', '20130120_113156_r2_2_MYN', '20130122_220821_r2_2_JDD', '20130124_111457_r2_2_TNH', '20130126_115609_r2_2_PLJ', '20130126_215126_r2_2_XIG', '20130127_112718_r2_2_NIY', '20130202_115202_r2_2_GBV', '20130209_214318_r2_2_CNA', '20130210_111858_r2_2_UHN', '20130216_114403_r2_3_AJC', '20130216_213818_r2_3_YUW', '20130217_111503_r2_3_ODR', '20130224_111038_r2_6_KRD', '20130302_113540_r2_3_SJS', '20130303_110646_r2_13_PHS', '20130309_113134_r2_6_COL', '20130316_112720_r2_7_FNX', '20130317_223319_r2_2_FJN', '20130321_221629_r2_2_IEA', '20130323_112310_r2_2_KDE', '20130324_222908_r2_2_TOH', '20130328_221220_r2_2_AZA', '20130330_111923_r2_2_VLM', '20130331_222437_r2_2_NEC', '20130405_213802_r2_6_BFZ', '20130406_111505_r2_10_EUJ', '20130407_222028_r2_2_FNH', '20130413_111102_r2_9_EGW', '20130414_221618_r2_3_ABE', '20130420_110648_r2_3_LGN', '20130421_221217_r2_2_JMI', '20130428_220711_r2_11_HQL', '20130504_223320_r2_3_VRE', '20130505_220305_r2_2_EUQ', '20130511_222850_r2_2_QWJ', '20130512_120520_r2_0_MEP', '20130512_215857_r2_2_GPG', '20130518_222439_r2_4_SCJ', '20130519_120109_r2_2_BAY', '20130519_215535_r2_3_EGE', '20130523_213856_r2_3_ZTO', '20130525_222005_r2_2_MVP', '20130526_115646_r2_2_FWW', '20130526_215038_r2_2_FTS', '20130601_221549_r2_5_SFG', '20130602_115224_r2_2_PDQ', '20130602_214711_r2_2_YKQ', '20130603_112307_r2_2_NWM', '20130607_110651_r2_5_QSH', '20130608_221210_r2_4_HNS', '20130609_114815_r2_4_AEZ', '20130609_214239_r2_4_RUJ', '20130610_111922_r2_4_OGJ', '20130615_220711_r2_13_BTM', '20130616_114408_r2_5_RDH', '20130616_213830_r2_7_FDS', '20130617_111503_r2_4_PXK', '20130622_220305_r2_10_SWZ', '20130623_113955_r2_5_CBA', '20130623_213402_r2_4_ZSN', '20130624_111053_r2_4_GVP', '20130629_120459_r2_0_KMG', '20130630_113544_r2_0_AYJ', '20130701_110651_r2_2_ENP', '20130703_114806_r2_2_LLD', '20130703_214213_r2_2_VMT', '20130704_111859_r2_2_GSC', '20130706_120040_r2_3_NLO', '20130706_215536_r2_2_QZG', '20130707_113121_r2_2_MNQ', '20130710_114357_r2_6_QGL', '20130710_213803_r2_5_GVO', '20130711_111450_r2_5_OIR', '20130712_222022_r2_5_EBQ', '20130713_115626_r2_6_PYP', '20130713_215050_r2_5_RRI', '20130714_112722_r2_5_XUC', '20130716_220410_r2_4_NTR', '20130717_113949_r2_3_JCN', '20130717_213404_r2_3_XVG', '20130718_111038_r2_3_WMG', '20130719_221537_r2_4_XVL', '20130720_115220_r2_4_VPD', '20130720_214704_r2_3_GOH', '20130721_112307_r2_3_NGY', '20130722_222913_r2_4_VFP', '20130723_120437_r2_3_ZQN', '20130723_215945_r2_2_STV', '20130724_113536_r2_2_LPJ', '20130725_110650_r2_7_LDJ']"
KWQ,"['20121128_221342_r2_0_KWQ', '20121129_114721_r2_0_SOB', '20121201_222630_r2_0_UAQ', '20121202_115943_r2_0_TRV', '20121202_215654_r2_0_JXV', '20121203_113042_r2_0_RUS', '20121208_222213_r2_3_ISX', '20121209_115521_r2_2_QWK', '20121215_122042_r2_4_HJG', '20121215_221721_r2_4_NDK', '20121216_115119_r2_4_PCA', '20121216_214747_r2_3_DFX', '20121222_121641_r2_3_EEI', '20121222_221357_r2_0_SJR', '20121227_113036_r2_3_CNB', '20121229_121233_r2_1_GBI', '20130105_220505_r2_13_EIF', '20130106_113858_r2_4_RKL', '20130106_213514_r2_3_DXH', '20130113_113437_r2_1_YXZ', '20130119_215618_r2_6_VIN', '20130120_212803_r2_12_HEH', '20130126_115455_r2_10_AMZ', '20130126_215241_r2_9_VTS', '20130202_115047_r2_10_OWL', '20130204_123256_r2_3_SIZ', '20130209_214433_r2_11_SOY', '20130216_114249_r2_4_RYH', '20130216_213933_r2_2_GQO', '20130217_125349_r2_3_YYY', '20130224_124931_r2_4_RKB', '20130302_113425_r2_0_NOB', '20130309_113020_r2_0_KNO', '20130309_212717_r2_0_NZI', '20130310_124043_r2_8_WPE', '20130310_223843_r2_0_LQL', '20130312_214029_r2_0_UZP', '20130314_222125_r2_0_ADK', '20130316_212252_r2_0_FLQ', '20130317_123711_r2_1_TWK', '20130317_223434_r2_4_SYI', '20130321_221744_r2_4_QEH', '20130323_211940_r2_0_TTT', '20130324_123241_r2_0_GLE', '20130324_223022_r2_0_ENS', '20130326_213204_r2_0_PSE', '20130328_221334_r2_1_BEQ', '20130331_122912_r2_3_PGI', '20130331_222616_r2_4_PTL', '20130403_124051_r2_3_LIN', '20130404_121155_r2_4_GMB', '20130405_214032_r2_2_UQS', '20130407_222110_r2_4_RKF', '20130410_123658_r2_5_YSI', '20130411_220504_r2_5_ZNM', '20130414_122016_r2_5_XRE', '20130414_221733_r2_6_KJY', '20130417_123216_r2_8_POK', '20130420_124535_r2_6_TVJ', '20130421_121609_r2_6_FCV', '20130421_221331_r2_10_JOL', '20130424_122805_r2_9_ISY', '20130427_124113_r2_6_SLK', '20130427_223844_r2_5_GZQ', '20130428_220941_r2_5_USW', '20130501_122413_r2_11_QKK', '20130504_223435_r2_5_BXJ', '20130505_120750_r2_5_VXD', '20130505_220535_r2_4_LZB', '20130508_122002_r2_4_NSE', '20130511_222931_r2_4_QIT', '20130512_120402_r2_5_XLH', '20130512_220124_r2_4_HNO', '20130515_121555_r2_4_TXD', '20130518_222627_r2_2_EWB', '20130519_115955_r2_1_TDQ', '20130519_215651_r2_15_QRN', '20130522_121144_r2_12_NNN', '20130525_222120_r2_7_OTK', '20130526_115531_r2_7_CNU', '20130526_215155_r2_7_BXV']"
JQF,"['20121128_221227_r2_1_JQF', '20121129_114836_r2_1_PHO', '20121130_111923_r2_1_FUV', '20121201_222437_r2_1_QIB', '20121202_215539_r2_7_USX', '20121203_113156_r2_1_ZWW', '20121207_111516_r2_9_SWO', '20121208_222027_r2_2_DXB', '20121209_115635_r2_2_ZNJ', '20121210_112746_r2_2_ZIJ', '20121214_111102_r2_2_YOP', '20121216_115233_r2_2_OKG', '20121216_214632_r2_2_QDD', '20121222_221123_r2_3_HVI', '20121224_111902_r2_4_HQN', '20121227_113150_r2_1_BFK', '20121230_213820_r2_1_WGC', '20121231_111450_r2_1_DBT', '20130105_220308_r2_9_SXZ', '20130106_114013_r2_1_XFR', '20130106_213356_r2_1_WMS', '20130107_111108_r2_1_DYQ', '20130113_113551_r2_1_RWJ', '20130114_110652_r2_2_CJX', '20130119_120030_r2_0_DON', '20130120_113156_r2_0_UDO', '20130122_220821_r2_0_PHC', '20130124_111457_r2_0_NBU', '20130126_115609_r2_0_DIP', '20130126_215126_r2_0_ZQV', '20130127_112718_r2_0_YKQ', '20130202_115202_r2_0_ZNM', '20130209_214318_r2_0_ZLZ', '20130210_111858_r2_0_ZAN', '20130216_114403_r2_1_ECX', '20130216_213818_r2_1_WLN', '20130217_111503_r2_1_TTT', '20130224_111038_r2_4_APG', '20130302_113540_r2_1_LBD', '20130303_110646_r2_11_WNC', '20130309_113134_r2_4_MSC', '20130316_112720_r2_5_KQB', '20130317_223319_r2_0_BHQ', '20130321_221629_r2_0_TWB', '20130323_112310_r2_0_TON', '20130324_222908_r2_0_NXC', '20130328_221220_r2_0_FTP', '20130330_111923_r2_0_XTN', '20130331_222437_r2_0_RHR', '20130405_213802_r2_3_YLQ', '20130406_111505_r2_7_MNW', '20130407_222028_r2_0_FJA', '20130413_111102_r2_7_VBU', '20130414_221618_r2_1_LKQ', '20130420_110648_r2_1_GBE', '20130421_221217_r2_0_ZCT', '20130428_220711_r2_9_DJZ', '20130504_223320_r2_1_PHE', '20130505_220305_r2_0_DKE', '20130511_222850_r2_0_RCQ', '20130512_120520_r2_1_MHI', '20130512_215857_r2_0_KOW', '20130518_222439_r2_2_ZKW', '20130519_120109_r2_0_TJA', '20130519_215535_r2_1_DEN', '20130523_213856_r2_1_TPS', '20130525_222005_r2_0_SRY', '20130526_115646_r2_0_LDU', '20130526_215038_r2_0_FIQ', '20130601_221549_r2_3_PSC', '20130602_115224_r2_0_WUX', '20130602_214711_r2_0_MWZ', '20130603_112307_r2_0_GMI', '20130607_110651_r2_3_PRQ', '20130608_221210_r2_2_PTB', '20130609_114815_r2_2_MHC', '20130609_214239_r2_2_WBG', '20130610_111922_r2_2_QFD', '20130615_220711_r2_11_NNK', '20130616_114408_r2_3_GWA', '20130616_213830_r2_5_QFJ', '20130617_111503_r2_2_FIS', '20130622_220305_r2_8_UMH', '20130623_113955_r2_3_PTY', '20130623_213402_r2_2_PUE', '20130624_111053_r2_2_OHK', '20130629_120459_r2_1_RVJ', '20130630_113544_r2_1_HUN', '20130701_110651_r2_0_QOM', '20130703_114806_r2_0_RDB', '20130703_214213_r2_0_JEQ', '20130704_111859_r2_0_QZC', '20130706_120040_r2_1_TIG', '20130706_215536_r2_0_LVZ', '20130707_113121_r2_0_QFH']"
UAB,"['20121128_221342_r2_1_UAB', '20121129_114721_r2_1_CUJ', '20121201_222630_r2_1_EYT', '20121202_115943_r2_1_CPR', '20121202_215654_r2_1_PYA', '20121203_113042_r2_1_OXH', '20121208_222213_r2_4_ICS', '20121209_115521_r2_3_LWZ', '20121215_122042_r2_5_ZFO', '20121215_221721_r2_5_MUJ', '20121216_115119_r2_5_ZDU']"
PZB,"['20121128_221227_r2_2_PZB', '20121129_114836_r2_2_RXS', '20121130_111923_r2_2_VTS', '20121201_222437_r2_2_DXU', '20121202_215539_r2_8_IUF', '20121203_113156_r2_2_DFY', '20121207_111516_r2_10_EWK', '20121208_222027_r2_3_LZI', '20121209_115635_r2_3_VAM', '20121210_112746_r2_3_FUY', '20121214_111102_r2_3_KZJ', '20121216_115233_r2_3_VTZ', '20121216_214632_r2_3_RQX', '20121222_221123_r2_4_NZS', '20121224_111902_r2_5_MHE', '20121227_113150_r2_2_ESC', '20121230_213820_r2_2_VYP', '20121231_111450_r2_2_KNE', '20130105_220308_r2_10_RAG', '20130106_114013_r2_2_VMT', '20130106_213356_r2_2_CRR', '20130107_111108_r2_2_HFI', '20130113_113551_r2_2_WNC', '20130114_110652_r2_3_QXW', '20130119_120030_r2_1_SJG', '20130120_113156_r2_1_MZG', '20130122_220821_r2_1_UFD', '20130124_111457_r2_1_ORF', '20130126_115609_r2_1_ALA', '20130126_215126_r2_1_JEJ', '20130127_112718_r2_1_VQV', '20130202_115202_r2_1_ZAF', '20130209_214318_r2_1_BAB', '20130210_111858_r2_1_PUA', '20130216_114403_r2_2_UDY', '20130216_213818_r2_2_COB', '20130217_111503_r2_2_RWY', '20130224_111038_r2_5_BUU', '20130302_113540_r2_2_GKQ', '20130303_110646_r2_12_XZS', '20130309_113134_r2_5_LUP', '20130316_112720_r2_6_VGT', '20130317_223319_r2_1_TIC', '20130321_221629_r2_1_ZUD', '20130323_112310_r2_1_DUP', '20130324_222908_r2_1_FPS', '20130328_221220_r2_1_XYH', '20130330_111923_r2_1_CNE', '20130331_222437_r2_1_HHK', '20130405_213802_r2_4_BAI', '20130406_111505_r2_8_HRZ', '20130407_222028_r2_1_ZFV', '20130413_111102_r2_8_IMO', '20130414_221618_r2_2_CZX', '20130420_110648_r2_2_PCJ', '20130421_221217_r2_1_AVB', '20130428_220711_r2_10_OXH', '20130504_223320_r2_2_SKK', '20130505_220305_r2_1_FPD', '20130511_222850_r2_1_NTV', '20130512_120520_r2_2_SKA', '20130512_215857_r2_1_MKT', '20130518_222439_r2_3_CHN', '20130519_120109_r2_1_PPV', '20130519_215535_r2_2_MDI', '20130523_213856_r2_2_OAI', '20130525_222005_r2_1_FIK', '20130526_115646_r2_1_FQQ', '20130526_215038_r2_1_OVO', '20130601_221549_r2_4_JTX', '20130602_115224_r2_1_JPD', '20130602_214711_r2_1_ZEV', '20130603_112307_r2_1_ABA', '20130607_110651_r2_4_WJD', '20130608_221210_r2_3_QBX', '20130609_114815_r2_3_XDY', '20130609_214239_r2_3_EIR', '20130610_111922_r2_3_HTK', '20130615_220711_r2_12_EWO', '20130616_114408_r2_4_URT', '20130616_213830_r2_6_GAB', '20130617_111503_r2_3_SEQ', '20130622_220305_r2_9_XIA', '20130623_113955_r2_4_PPE', '20130623_213402_r2_3_OQU', '20130624_111053_r2_3_KML', '20130629_120459_r2_2_ZJV', '20130630_113544_r2_2_JPQ', '20130701_110651_r2_1_XVS', '20130703_114806_r2_1_DAJ', '20130703_214213_r2_1_IDA', '20130704_111859_r2_1_LNZ', '20130706_120040_r2_2_LHO', '20130706_215536_r2_1_REE', '20130707_113121_r2_1_XTO']"
GXZ,"['20121207_111516_r2_7_GXZ', '20121208_222027_r2_1_ZCE', '20121209_115635_r2_1_YBM', '20121210_112746_r2_1_IRX', '20121214_111102_r2_1_PUF', '20121216_115233_r2_1_YGQ', '20121216_214632_r2_1_ZYT', '20121222_221123_r2_2_SKJ', '20121224_111902_r2_3_YDP']"
FGA,"['20121215_221721_r2_2_FGA', '20121216_115119_r2_2_FUZ', '20121222_121641_r2_8_LVE', '20121222_221357_r2_4_BRR', '20121229_121118_r2_6_HVZ', '20121229_220951_r2_4_OEP', '20130105_220505_r2_7_OYB', '20130106_113858_r2_3_DHX', '20130106_213629_r2_0_MUP', '20130114_224226_r2_1_IIJ', '20130119_215618_r2_3_BJW', '20130120_212803_r2_11_KAZ', '20130126_115455_r2_9_MMR', '20130126_215241_r2_8_WHK', '20130202_115047_r2_9_RGJ', '20130204_123256_r2_2_YZX', '20130209_214433_r2_10_NKE', '20130210_125753_r2_3_EYM', '20130216_114249_r2_3_XGS', '20130216_214040_r2_1_BLY', '20130217_125349_r2_0_QTR', '20130224_124931_r2_3_STH', '20130309_212717_r2_2_XBN', '20130310_124043_r2_10_ZQO', '20130310_223843_r2_1_XDO', '20130312_214029_r2_1_NYW', '20130314_222125_r2_1_CMJ']"
JXG,"['20121231_111450_r2_7_JXG', '20130105_220308_r2_13_OGS', '20130106_114013_r2_5_FLN', '20130106_213356_r2_5_SRT', '20130107_111108_r2_5_ZMT', '20130113_113551_r2_5_PWL', '20130113_213031_r2_0_NBF', '20130114_110652_r2_0_CZA', '20130120_113156_r2_3_MTF', '20130121_110245_r2_0_UWQ', '20130122_220814_r2_0_OSK', '20130124_111457_r2_3_CWA', '20130126_115609_r2_3_AHI', '20130126_215126_r2_3_AFX', '20130127_112718_r2_3_UCQ', '20130202_115202_r2_3_YME', '20130210_111858_r2_5_DBU', '20130216_114403_r2_4_DGH', '20130216_213818_r2_4_WZM', '20130217_111503_r2_4_UEI', '20130224_111038_r2_7_YXA', '20130302_113540_r2_4_ICM', '20130302_212956_r2_1_TDF', '20130303_110646_r2_1_LVK', '20130309_113134_r2_1_HXG', '20130310_110239_r2_8_XXW', '20130316_112720_r2_2_ZMH', '20130321_221629_r2_3_MEA', '20130323_112310_r2_3_RRR', '20130324_222908_r2_3_YMV', '20130328_221220_r2_3_EPE', '20130330_111923_r2_3_QUA', '20130331_222437_r2_3_PTK', '20130405_213802_r2_5_GQF', '20130406_111505_r2_9_UKL', '20130407_222028_r2_3_GDK', '20130413_111102_r2_10_JBF', '20130414_221618_r2_4_UYP', '20130420_110648_r2_4_ZAC', '20130421_221217_r2_3_ALR', '20130427_110235_r2_7_YUE', '20130428_220711_r2_6_FYR', '20130505_220305_r2_7_OCK', '20130511_222850_r2_3_BVP', '20130512_215857_r2_3_MQY', '20130513_212941_r2_0_SIE', '20130518_222439_r2_0_VGP', '20130519_215535_r2_5_MEP', '20130523_213856_r2_4_CPM', '20130525_222005_r2_3_VTL', '20130526_115646_r2_3_IMN', '20130526_215038_r2_3_YLO', '20130601_221549_r2_6_UHW', '20130602_115224_r2_3_BHQ', '20130602_214711_r2_3_GDE', '20130603_112307_r2_3_XPH', '20130606_212956_r2_3_STQ', '20130607_110651_r2_1_EQD', '20130608_221210_r2_0_ALB', '20130609_114815_r2_0_LVH', '20130609_214239_r2_0_QLR', '20130610_111922_r2_0_OPQ', '20130614_110243_r2_9_SUB', '20130615_220711_r2_8_TWJ', '20130616_114408_r2_0_NII', '20130616_213830_r2_2_MZG', '20130617_111503_r2_0_ADF', '20130622_220305_r2_6_HGU', '20130623_113955_r2_1_AGS', '20130623_213402_r2_0_LSV', '20130624_111053_r2_0_UBJ', '20130630_113544_r2_5_RVR', '20130701_110651_r2_3_KUE', '20130703_114806_r2_3_VOC', '20130703_214213_r2_3_LRC', '20130704_111859_r2_3_UEM', '20130707_113121_r2_7_IOH', '20130708_110243_r2_6_MXX', '20130710_114357_r2_0_BFY', '20130710_213803_r2_0_MKN', '20130711_111450_r2_0_HDT', '20130712_222022_r2_0_KCA', '20130713_115626_r2_1_EKR', '20130713_215050_r2_0_FRC', '20130714_112722_r2_0_PMI', '20130716_220251_r2_5_FPM', '20130717_113949_r2_4_ELO', '20130717_213404_r2_4_MCU', '20130718_111038_r2_4_NRN', '20130719_221537_r2_5_KZS', '20130720_115220_r2_5_EQN', '20130720_214704_r2_4_UIH', '20130721_112307_r2_4_KPE']"
